"reason","institution","removed_path","kept_path","removed_name","kept_name","bytes","sha256"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 제주지역 기업경기조사 결과_f.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 제주지역 기업경기조사 결과_f.pdf","[보도자료] 2026년 6월 제주지역 기업경기조사 결과_f.hwp","[보도자료] 2026년 6월 제주지역 기업경기조사 결과_f.pdf","802816","bbf80e509369ba0161205ecb8d2e3075ee600605dd79497c9dad4aa045a262cf"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 제주지역 소비자동향조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 제주지역 소비자동향조사 결과.pdf","[보도자료] 2026년 6월 제주지역 소비자동향조사 결과.hwp","[보도자료] 2026년 6월 제주지역 소비자동향조사 결과.pdf","596992","945e31ea75a73ccfb1340c34991368c805706a373dbb715f402ce74beedcdf60"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 충북지역 기업경기조사 결과_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 충북지역 기업경기조사 결과_F.pdf","[보도자료] 2026년 6월 충북지역 기업경기조사 결과_F.hwp","[보도자료] 2026년 6월 충북지역 기업경기조사 결과_F.pdf","653312","13a6cbe8a48da9a67b5062c721aadcb217487b37896a989d065eb4bddea29ff7"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] AI 역량과 지역 경제성장_대전세종충남을 중심으로.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] AI 역량과 지역 경제성장_대전세종충남을 중심으로.pdf","[보도자료] AI 역량과 지역 경제성장_대전세종충남을 중심으로.hwp","[보도자료] AI 역량과 지역 경제성장_대전세종충남을 중심으로.pdf","993280","ab92e92f23b8d0f23a11ea328f1f2fb5e175e009691d0e0d5a9d3eaf6fa808fc"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의시스템 금융기관 연계 실험 결과_FF.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의시스템 금융기관 연계 실험 결과_FF.pdf","[보도자료] CBDC 모의시스템 금융기관 연계 실험 결과_FF.hwp","[보도자료] CBDC 모의시스템 금융기관 연계 실험 결과_FF.pdf","677888","e29102faa081c11f70082bfe2327109a97df0f114af50da7b9cc1384e0d5b90b"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의실험 연구사업 1단계 결과 및 향후 계획.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의실험 연구사업 1단계 결과 및 향후 계획.pdf","[보도자료] CBDC 모의실험 연구사업 1단계 결과 및 향후 계획.hwp","[보도자료] CBDC 모의실험 연구사업 1단계 결과 및 향후 계획.pdf","917504","54d510b143d11e3b3f1b1b5c20ce81aa56395700009118873c52a3240eba6fd7"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의실험 연구사업 2단계 결과 및 향후 계획_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] CBDC 모의실험 연구사업 2단계 결과 및 향후 계획_F.pdf","[보도자료] CBDC 모의실험 연구사업 2단계 결과 및 향후 계획_F.hwp","[보도자료] CBDC 모의실험 연구사업 2단계 결과 및 향후 계획_F.pdf","2555904","ea86550917c27cb50702a7844356636a92cf2cfdc385b42bd46c505bd12200eb"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 「프로젝트 한강」 2단계 본격 추진_f.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 「프로젝트 한강」 2단계 본격 추진_f.pdf","[보도자료] 「프로젝트 한강」 2단계 본격 추진_f.hwp","[보도자료] 「프로젝트 한강」 2단계 본격 추진_f.pdf","91136","5f1f82aee3c4cd95efc904ab35eb0f21383b038e2019e840255a5d633831d0b5"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 신현송 한국은행 총재-박홍근 기획예산처 장관 회동 결과_f.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 신현송 한국은행 총재-박홍근 기획예산처 장관 회동 결과_f.pdf","[보도자료] 신현송 한국은행 총재-박홍근 기획예산처 장관 회동 결과_f.hwp","[보도자료] 신현송 한국은행 총재-박홍근 기획예산처 장관 회동 결과_f.pdf","117760","95616ed4b8250f5521ec7666ec45ed08ffdc757c508dcf313a8e42c392de3c58"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 강릉본부 「2026 지역균형발전 세미나」개최_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 강릉본부 「2026 지역균형발전 세미나」개최_F.pdf","[보도자료] 한국은행 강릉본부 「2026 지역균형발전 세미나」개최_F.hwp","[보도자료] 한국은행 강릉본부 「2026 지역균형발전 세미나」개최_F.pdf","149504","fa7b7313e0ef7319cf2cc6087f57991c8a6456544a35560fbd4a46486d7dffd7"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 광주전남본부·목포본부, 2026년 상반기 지역경제세미나 주요 내용_ff.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 광주전남본부·목포본부, 2026년 상반기 지역경제세미나 주요 내용_ff.pdf","[보도자료] 한국은행 광주전남본부·목포본부, 2026년 상반기 지역경제세미나 주요 내용_ff.hwp","[보도자료] 한국은행 광주전남본부·목포본부, 2026년 상반기 지역경제세미나 주요 내용_ff.pdf","179712","110951fc89b9864e595a65d24f5328707ec270f102d8b19edfff7e690dedc259"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 포항본부, 대구·경북지방중소벤처기업청과 업무협약(MOU) 체결_FF.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행 포항본부, 대구·경북지방중소벤처기업청과 업무협약(MOU) 체결_FF.pdf","[보도자료] 한국은행 포항본부, 대구·경북지방중소벤처기업청과 업무협약(MOU) 체결_FF.hwp","[보도자료] 한국은행 포항본부, 대구·경북지방중소벤처기업청과 업무협약(MOU) 체결_FF.pdf","2221568","704269a006b04c7d7b5c46b541171329426d956cd0c94f9af008bc3cc847763a"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행, BIS 등과 공동 수행한 프로젝트 아고라 플랫폼(프로토타입) 구축 및 실거래 테스트 참여.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 한국은행, BIS 등과 공동 수행한 프로젝트 아고라 플랫폼(프로토타입) 구축 및 실거래 테스트 참여.pdf","[보도자료] 한국은행, BIS 등과 공동 수행한 프로젝트 아고라 플랫폼(프로토타입) 구축 및 실거래 테스트 참여.hwp","[보도자료] 한국은행, BIS 등과 공동 수행한 프로젝트 아고라 플랫폼(프로토타입) 구축 및 실거래 테스트 참여.pdf","285184","8ad3e1dd088a5d2580ec9f86a5e2e4d790f7ed3628b389425db17ea84f9fe7ee"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료]2026년 6월 경남지역 기업경기조사결과_f.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료]2026년 6월 경남지역 기업경기조사결과_f.pdf","[보도자료]2026년 6월 경남지역 기업경기조사결과_f.hwp","[보도자료]2026년 6월 경남지역 기업경기조사결과_f.pdf","680448","fba104ca01d373500d9d984b9fdcd08ecabab3b0c8508bf4de979a0e6e26e390"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료]2026년 6월 부산지역 기업경기조사 결과_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료]2026년 6월 부산지역 기업경기조사 결과_F.pdf","[보도자료]2026년 6월 부산지역 기업경기조사 결과_F.hwp","[보도자료]2026년 6월 부산지역 기업경기조사 결과_F.pdf","1776640","3be99fb66cfb5c9d0fe48eaee4add4a281bf739ef933c1ccaa43284fec2cc35e"
